structure,actor_type,service_domains,service_gbv_type,target_groups,coverage_level,coverage_geo,departement(s),commune,strengths,gaps,responsable,phone,email,address,latitude,longitude,source_section
FODDE,ONG/Association,Protection & promotion groupes vulnérables; Santé & autonomisation femmes/filles; Promotion approche Genre au sein des OCB partenaires,Prévention; Protection; Autonomisation,Population générale,Local,Kolda,Kolda,,Ancrage communautaire; Renforcement capacités; Démultiplication RH,Résistance MGF,,,,,,,ONG/Associations
Association La Joie des orphelins,ONG/Association,Accueil/orientation; Accompagnement psychosocial; Hébergement/mise à l’abri; PEC sanitaire; Médiation; Réintégration; Formation; Suivi post-accompagnement,Psychosocial; Protection; Mise à l’abri; Médical; Gestion de cas,Enfants; Femmes,Inter-régional,Kolda; Sédhiou; Ziguinchor,Kolda,,Maillage territorial; Travail en synergie,Ressources financières insuffisantes,,,,,,,ONG/Associations
ONG AIDA/MJPI,ONG/Association,Souveraineté alimentaire; Bonne gouvernance; Appui PVH; Appui migrants de retour; Leadership jeunes; Accès à l’eau; Éducation,Protection (PVH); Prévention (selon projets),GIE; GPF; Associations locales,Inter-régional,Kolda; Ziguinchor,Kolda,,Expérience contexte; Équipe qualifiée,Besoins dispositifs PEC VBG (mention),,,,,,,ONG/Associations
CASADES,ONG/Association,Écoute/accueil; Accompagnement; PEC psychosociale; PEC juridique; PEC médicale,Psychosocial; Juridique; Médical; Gestion de cas; Prévention (clubs),Femmes; Filles; Hommes (champions); Jeunes filles (clubs); Jeunes femmes,Inter-régional,Kolda; Sédhiou; Kaffrine; Kédougou; Ziguinchor,Kolda,,Ancrage communautaire; Collaboration autorités; Comités de suivi; Finances informatisées; Équipe pluridisciplinaire,Résistances socio-culturelles; Analphabétisme,,,,,,,ONG/Associations
7A / MAREWE,ONG/Association,Sécurité alimentaire; Gouvernance; Santé; Entreprenariat; Gestion ressources naturelles,Prévention; Autonomisation (selon projets),Ménages; GPF/GIE; Organisations de producteurs; OSC; Collectivités locales,Inter-régional,Kolda; Ziguinchor; Bafata (Guinée-Bissau),Kolda,,Ancrage communautaire; Approches pédagogiques; Gestion consortium; Collaboration autorités/partenaires,Ressources financières limitées; Renforcement capacités personnel,,,,,,,ONG/Associations
ONG ASHUDEB,ONG/Association,Santé; Éducation; Autonomisation économique femmes; Sécurité alimentaire/nutrition; Gestion des plaintes,Prévention; Autonomisation; AAP/PLAINTES,Femmes; Jeunes; PVH; Enfants,Inter-régional,Kolda; Tambacounda; Sédhiou; Ziguinchor,Kolda,,Ancrage; Expérience SSR; Expertise autonomisation; Connaissance contexte,Ressources insuffisantes pour PEC survivantes VBG,,,,,,,ONG/Associations
Association Gune de Kolda,ONG/Association,Éducation; Santé; Entreprenariat féminin; Souveraineté alimentaire,Prévention; Autonomisation,Femmes et enfants,Inter-régional,Kolda; Sédhiou,Kolda,,Ancrage; Expériences domaines,Insuffisance financements,,,,,,,ONG/Associations
Boutique de droit (AJS),ONG/Association,Conseil/appui juridique (gratuit); Appui certificat médical; Appui ordonnances (selon cas),Juridique; Orientation/Référencement,Population générale,Régional,Région de Kolda,Kolda,,Gratuité conseil; Appui coûts certificat médical; Appui ordonnances,Sensibilisation insuffisante; Vulgarisation lois VBG; Fonds d’appui AGR femmes; Renforcement capacités personnel,,,,,,,ONG/Associations
RADDHO,ONG/Association,Droits humains; Formation/sensibilisation; AGR PVH; Lutte contre stigmatisation,Prévention; Droits humains; Protection (PVH),Population générale; PVH,Régional,Kolda (représentants à Vélingara et MYF),Vélingara; Médina Yoro Foulah; Kolda,,RH de qualité; Langues locales; Ancrage communautaire,Manque moyens matériels; Manque partenaires,,,,,,,ONG/Associations
ENDA Jeunesse,ONG/Association,Éducation; Santé mentale; SSR; Mobilité/traite enfants; Employabilité,Prévention; Protection enfance; SSR,Enfants; Adolescent.e.s; Jeunes,Régional,Région de Kolda,Kolda,,Ancrage communautaire; Formation RH; Engagement,Déficit logistique déplacements; Ressources financières insuffisantes,,,,,,,ONG/Associations
PACOPE (SOS Village d’enfants),ONG/Association,Protection enfance; Capacités parentales; Autonomisation familles; Mobilisation communautaire; Gestion de cas,Protection; Gestion de cas; Prévention,Population générale,Local/Communal,Commune de Kolda; Commune de Dioulacolon,Kolda,Kolda; Dioulacolon,Implication communautés; Commissions VBG,,,,,,,,ONG/Associations
CARITAS,ONG/Association,Action caritative; Dialogue interreligieux; Appui communautaire,Protection/Assistance,Population générale,Inter-régional,Kolda; Sédhiou,Kolda,,Dimension caritative; Dialogue interreligieux; Éthique,Mobilisation des ressources; Promotion ressources endogènes,,,,,,,ONG/Associations
EDUCO,ONG/Association,Éducation; Protection enfance; Autonomisation enfants/jeunes; Formation professionnelle jeunes,Protection; Prévention; Éducation,Enfants 0–18; Filles/femmes; Jeunes filles; Jeunes garçons,Départemental,"Kolda; MYF (Ndorna, Bouroucou)",Médina Yoro Foulah; Kolda,,Ancrage communautaire (depuis 2016); Collaboration autorités; Expérience VBG/pratiques; Approche inclusive/parité,Persistance VBG; Contraintes financement; Ressources limitées projets protection,,,,,,,ONG/Associations
Tostan,ONG/Association,Droits humains; Renforcement capacités communautaires; Santé/hygiène/SSR; Alphabétisation; Prévention/prise en charge fistule; Lutte VBG; Mobilisation/plaidoyer; Autonomisation économique (AGR); Communication radio; Protection enfant; Paix & médiation,Prévention; Mobilisation sociale; Autonomisation; Protection,Femmes/filles; Communauté (transversal),Inter-régional,"Kolda (Coumbacara, MYF); Ziguinchor; Sédhiou",Médina Yoro Foulah; Kolda,,Langues locales; Approche inclusive; Comités de gestion; Renforcement capacités; Stratégie pérennisation,Couverture limitée agriculture/élevage; Besoin appuis développement local; Engagement collectivités insuffisant (MGF),,,,,,,ONG/Associations
AMREF Health Africa,ONG/Association,Lutte VBG (focus MGF); Abandon MGF communal; Leadership féminin; Autonomisation,Prévention; MGF; Autonomisation,Jeunes filles 15–24 ans,Inter-régional,"Kolda; Sédhiou (Bounkiling, Goudomp)",Kolda,,Engagement fort MGF; Collaboration (Centre Ado); Équipe spécialisée,Réticences communautaires; Moyens insuffisants; Inclure davantage garçons,,,,,,,ONG/Associations
Fédération des Personnes Vivant avec Handicap (PVH),ONG/Association,Soutien PVH; Insertion sociale/professionnelle; Fourniture matériel; Signalement/orientation cas violences; Plaidoyer accessibilité/autonomisation,Protection; Orientation/Référencement; Plaidoyer; Inclusion,"PVH (visuel, moteur, auditif, etc.)",Régional,Région de Kolda (représentant dans chaque commune),Kolda,,Structuration communautaire; Accompagnement médico-social; Éducation/formation; Insertion; Plaidoyer,Financement public faible; Infrastructures inadaptées; PEC psychologique insuffisante; Prise en compte institutionnelle faible; Instabilité,,,,,,,ONG/Associations
Centre Guidance Infantile et Familiale,ONG/Association / Centre spécialisé,"Prévention VBG; Renforcement chaîne signalement/PEC; Formations (Badienou Gox, pairs, clubs); Formation enseignants/agents de santé/FDS; Écoute/identification; Accompagnement psychosocial; Médiation; PEC médicale; Appui juridique/orientation",Prévention; Psychosocial; Médical; Juridique; Référencement,Adolescent.e.s et jeunes,Départemental,Département de Kolda (cibles venant de MYF ou Vélingara),Vélingara; Médina Yoro Foulah; Kolda,,Chaîne PEC structurée; Personnel qualifié; Collaboration interactive; Dispositif communautaire fonctionnel,Fin projets (déc 2024); Financement PEC médicale difficile; Absence mécanisme pérenne; Logistique/transport insuffisants; Déplacements survivantes pauvres difficiles,,,,,,,ONG/Associations
